epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2906,3.06257,4.39579,4.27133,0.00171,0.625,0.00248,0.00044,2.6044,4.70064,4.15867,1.25e-05,1.25e-05,1.25e-05
2,41.0981,3.08231,4.52293,4.29418,0.00174,0.625,0.00273,0.00047,2.60473,4.7017,4.1584,3.71287e-05,3.71287e-05,3.71287e-05
3,60.1246,3.09888,4.41591,4.27352,0.00171,0.625,0.00228,0.0004,2.60496,4.70378,4.15808,6.12625e-05,6.12625e-05,6.12625e-05
4,78.0546,3.14837,4.37896,4.26102,0.0017,0.625,0.00363,0.00059,2.60493,4.7047,4.15771,8.49012e-05,8.49012e-05,8.49012e-05
5,95.4123,3.06082,4.4305,4.21865,0.00179,0.625,0.00391,0.00061,2.60443,4.70558,4.15721,0.000108045,0.000108045,0.000108045
6,112.233,3.26479,4.59016,4.27694,0.00178,0.625,0.00593,0.00088,2.60342,4.70625,4.1566,0.000130694,0.000130694,0.000130694
7,129.192,3.08662,4.39951,4.23838,0.00175,0.625,0.00809,0.00132,2.60154,4.7071,4.15579,0.000152847,0.000152847,0.000152847
8,145.445,3.00121,4.49069,4.2251,0.00173,0.625,0.01034,0.00174,2.59944,4.70714,4.15483,0.000174506,0.000174506,0.000174506
9,164.318,3.1688,4.37751,4.21838,0.00174,0.625,0.01024,0.00165,2.59823,4.70753,4.15425,0.00019567,0.00019567,0.00019567
10,181.109,3.1091,4.41622,4.22647,0.00172,0.625,0.01425,0.0022,2.59595,4.70772,4.15325,0.000216339,0.000216339,0.000216339
11,198.901,3.19035,4.39111,4.16871,0.00173,0.625,0.07265,0.011,2.59316,4.70779,4.15206,0.000236513,0.000236513,0.000236513
12,219.833,2.81023,4.2819,4.17942,0.00169,0.625,0.08486,0.01369,2.58998,4.70765,4.15067,0.000256191,0.000256191,0.000256191
